tags,english,swedish,dutch,german,russian
,saw,Såg,zaag,Säge,
nsfw,school shooting,,,,
,screwdriver,Skruvmejsel,schroevendraaier,Schraubenzieher,
,scribble,,,,
,sea,Sjö,zee,Meer,
,seal,Säl,zeehond,Seehund,
,seat belt,Säkerhetsbälte,gordel,Sicherheitsgurt,
,sexist,,,,
,shadow,Skugga,schaduw,Schatten,
,sheep,Får,schaap,Schaf,
,ship,Skepp,schip,Schiff,
,shirt,Skjorta,shirt,Hemd,
,shoe,Sko,schoen,Schuh,
,shoulder,Axel,schouder,Schulter,
,shower,Dusch,douche,Dusche,
,silver,Silver,zilver,Silber,
,sitting,,,,
,sky,Himmel,lucht,Himmel,
,sleep,Sova,slaap,Schlaf,
,slice,,,,
,small,,,,
,smoke,Rök,rook,Rauch,
,snake,,,,
,snort,Snorta,snuiven,Schnauben,
,soap,Tvål,zeep,Seife,
,son,Son,zoon,Sohn,
,sound,,,,
,south,,,,
,square,Fyrkant,vierkant,Quadrat,
,squeeze,,,,
,stairs,Trappa,trap,Treppen,
,stamp,Frimärke,stempel,Stempel,
,star,Stjärna,ster,Stern,
,stick figure,,,,
,string,,,,
,suit,Kostym,pak,Anzug,
,sun,Sol,zon,Sonne,
,sunglasses,,zonnebril,,
,sword,,zwaard,,
,table,,tafel,,
,tank,Stridsvagn,tank,Panzer,
,taxi,Taxi,taxi,Taxi,
,tea,Te,thee,Tee,
,television,,televisie,,
,tennis,Tennis,tennis,Tennis,
,thermometer,Termometer,thermometer,Termometer,
nsfw,thong,,,,
,thunder,Åska,donder,Donner,
,tie,Slips,stropdas,Krawatte,
,titanic,,titanic,,
,toe,Tå,teen,Zeh,
,toe,,,,
,toilet,Toalett,toilet,Toilette,
,tongue,Tunga,tong,Zunge,
,tooth,Tand,tand,Zahn,
,tornado,Tornado,tornado,Tornado,
,tractor,Traktor,tractor,Traktor,
,tree,Träd,boom,Baum,
,triangle,Triangel,driehoek,Dreieck,
,triangle,,,,
,truck,Lastbil,vrachtwagen,Lastwagen,
,Trump,Trump,Trump,Trump,
,udder,,,,
,ugly,,,,
,umbrella,Paraply,paraplu,Regenschirm,
nsfw,vagina,Vagina,vagina,Vagina,
,violin,Fiol,viool,Violine,
,vomit,Spy,kots,Kotze,
,waist,Midja,taille,Taille,
,wallet,Plånbok,portemonnee,Brieftasche,
,watch,Klocka,horloge,Uhr,
,water,Vatten,water,Wasser,
,web,Nät,web,Netz,
,weed,,,,
,west,Väst,westen,Westen,
,whale,,,,
,window,Fönster,raam,Fenster,
,winner,Vinnare,winnaar,Gewinner,
,wolf,,,,
,World Trade Center,World trade center,World Trade Center,World Trade Center,
,wrench,Skiftnyckel,moersleutel,Schlüssel,
,Wuped,,,,
,yarn,,,,
